Commodity,Country,weeklyExports,grossNewSales,Date
Corn,UNITED KINGDOM,0,0,2009-10-01
Corn,SWITZERLAND,0,0,2009-10-01
Corn,SPAIN,60,0,2009-10-01
Corn,TURKEY,0,0,2009-10-01
Corn,SYRIA,0,0,2009-10-01
Corn,LEBANON,0,0,2009-10-01
Corn,IRAN,0,0,2009-10-01
Corn,ISRAEL,0,0,2009-10-01
Corn,JORDAN,0,0,2009-10-01
Corn,SAUDI ARABIA,0,0,2009-10-01
Corn,UNITED ARAB EMIRATES,0,0,2009-10-01
Corn,VIETNAM,1243,0,2009-10-01
Corn,MALAYSIA,711,41,2009-10-01
Corn,SINGAPORE,0,0,2009-10-01
Corn,INDONESIA,996,0,2009-10-01
Corn,"CHINA, PEOPLES REPUBLIC OF",0,0,2009-10-01
Corn,"KOREA, REPUBLIC OF",290957,70250,2009-10-01
Corn,HONG KONG,468,227,2009-10-01
Corn,TAIWAN,37228,70101,2009-10-01
Corn,JAPAN,318772,207031,2009-10-01
Corn,"OTHER PACIFIC ISLANDS, NEC",0,0,2009-10-01
Corn,MOROCCO,53127,12665,2009-10-01
Corn,ALGERIA,0,0,2009-10-01
Corn,TUNISIA,0,0,2009-10-01
Corn,LIBYA,0,0,2009-10-01
Corn,EGYPT,63780,3780,2009-10-01
Corn,UNKNOWN,0,21776,2009-10-01
Corn,CANADA,37248,13137,2009-10-08
Corn,MEXICO,62027,70901,2009-10-08
Corn,GUATEMALA,6149,530,2009-10-08
Corn,EL SALVADOR,0,0,2009-10-08
Corn,HONDURAS,3000,0,2009-10-08
Corn,NICARAGUA,8916,216,2009-10-08
Corn,COSTA RICA,0,0,2009-10-08
Corn,PANAMA,0,7812,2009-10-08
Corn,CUBA,0,0,2009-10-08
Corn,JAMAICA,10500,0,2009-10-08
Corn,HAITI,0,0,2009-10-08
Corn,DOMINICAN REPUBLIC,0,36920,2009-10-08
Corn,LEEWARD-WINDWARD ISLANDS,0,0,2009-10-08
Corn,BARBADOS,0,0,2009-10-08
Corn,TRINIDAD AND TOBAGO,0,0,2009-10-08
Corn,FRENCH WEST INDIES,0,0,2009-10-08
Corn,COLOMBIA,55573,73756,2009-10-08
Corn,VENEZUELA,24176,18278,2009-10-08
Corn,SURINAM,0,1900,2009-10-08
Corn,ECUADOR,0,0,2009-10-08
Corn,PERU,0,0,2009-10-08
Corn,UNITED KINGDOM,0,0,2009-10-08
Corn,SWITZERLAND,0,0,2009-10-08
Corn,SPAIN,40,0,2009-10-08
Corn,TURKEY,0,0,2009-10-08
Corn,SYRIA,0,0,2009-10-08
Corn,LEBANON,0,0,2009-10-08
Corn,IRAN,0,0,2009-10-08
Corn,ISRAEL,0,0,2009-10-08
Corn,JORDAN,0,0,2009-10-08
Corn,SAUDI ARABIA,0,0,2009-10-08
Corn,UNITED ARAB EMIRATES,29572,0,2009-10-08
Corn,VIETNAM,143,0,2009-10-08
Corn,MALAYSIA,0,0,2009-10-08
Corn,SINGAPORE,0,0,2009-10-08
Corn,INDONESIA,0,0,2009-10-08
Corn,"CHINA, PEOPLES REPUBLIC OF",0,0,2009-10-08
Corn,"KOREA, REPUBLIC OF",121365,679,2009-10-08
Corn,HONG KONG,148,168,2009-10-08
Corn,TAIWAN,36547,28835,2009-10-08
Corn,JAPAN,157786,144107,2009-10-08
Corn,"OTHER PACIFIC ISLANDS, NEC",0,0,2009-10-08
Corn,MOROCCO,31110,1110,2009-10-08
Corn,ALGERIA,0,0,2009-10-08
Corn,TUNISIA,0,0,2009-10-08
Corn,LIBYA,0,0,2009-10-08
Corn,EGYPT,85831,6000,2009-10-08
Corn,"CONGO, DEMOCRATIC REPUBLIC OF",0,0,2009-10-08
Corn,KENYA,0,0,2009-10-08
Corn,UNKNOWN,0,256306,2009-10-08
Corn,CANADA,12775,6697,2009-10-15
Corn,MEXICO,139364,92607,2009-10-15
Corn,GUATEMALA,6748,7822,2009-10-15
Corn,EL SALVADOR,17423,0,2009-10-15
Corn,HONDURAS,0,0,2009-10-15
Corn,NICARAGUA,0,0,2009-10-15
Corn,COSTA RICA,25498,0,2009-10-15
Corn,PANAMA,0,6763,2009-10-15
Corn,CUBA,49183,1235,2009-10-15
Corn,JAMAICA,4057,57,2009-10-15
Corn,HAITI,0,0,2009-10-15
Corn,DOMINICAN REPUBLIC,19344,21524,2009-10-15
Corn,LEEWARD-WINDWARD ISLANDS,0,0,2009-10-15
Corn,BARBADOS,0,0,2009-10-15
Corn,TRINIDAD AND TOBAGO,3885,285,2009-10-15
Corn,FRENCH WEST INDIES,550,350,2009-10-15
Corn,COLOMBIA,42635,10507,2009-10-15
Corn,VENEZUELA,51472,39994,2009-10-15
Corn,GUYANA,0,0,2009-10-15
Corn,SURINAM,0,0,2009-10-15
Corn,ECUADOR,0,0,2009-10-15
Corn,PERU,0,0,2009-10-15
Corn,CHILE,0,0,2009-10-15
Corn,UNITED KINGDOM,0,0,2009-10-15
Corn,SWITZERLAND,0,0,2009-10-15
Corn,"GEORGIA, REPUBLIC OF",0,0,2009-10-15
Corn,SPAIN,241,1500,2009-10-15
Corn,ALBANIA,0,0,2009-10-15
Corn,TURKEY,0,0,2009-10-15
Corn,SYRIA,0,0,2009-10-15
Corn,LEBANON,0,0,2009-10-15
Corn,IRAN,0,0,2009-10-15
Corn,ISRAEL,0,0,2009-10-15
Corn,SAUDI ARABIA,0,0,2009-10-15
Corn,UNITED ARAB EMIRATES,0,0,2009-10-15
Corn,VIETNAM,0,0,2009-10-15
Corn,MALAYSIA,1029,400,2009-10-15
Corn,SINGAPORE,0,0,2009-10-15
Corn,INDONESIA,0,0,2009-10-15
Corn,"CHINA, PEOPLES REPUBLIC OF",0,0,2009-10-15
Corn,"KOREA, REPUBLIC OF",204200,9067,2009-10-15
Corn,HONG KONG,587,103,2009-10-15
Corn,TAIWAN,38103,11089,2009-10-15
Corn,JAPAN,172442,272116,2009-10-15
Corn,"OTHER PACIFIC ISLANDS, NEC",0,0,2009-10-15
Corn,MOROCCO,28452,452,2009-10-15
Corn,ALGERIA,0,0,2009-10-15
Corn,TUNISIA,0,0,2009-10-15
Corn,LIBYA,0,0,2009-10-15
Corn,EGYPT,0,0,2009-10-15
Corn,UNKNOWN,0,35560,2009-10-15
Corn,CANADA,21931,5113,2009-10-22
Corn,MEXICO,85100,99646,2009-10-22
Corn,GUATEMALA,0,381,2009-10-22
Corn,EL SALVADOR,16496,16496,2009-10-22
Corn,HONDURAS,0,500,2009-10-22
Corn,NICARAGUA,0,0,2009-10-22
Corn,COSTA RICA,0,0,2009-10-22
Corn,PANAMA,30446,6198,2009-10-22
Corn,CUBA,27500,2500,2009-10-22
Corn,JAMAICA,0,0,2009-10-22
Corn,DOMINICAN REPUBLIC,0,74000,2009-10-22
Corn,LEEWARD-WINDWARD ISLANDS,750,1100,2009-10-22
