Date,Country,Commodity,weeklyExports,grossNewSales
2009-10-15,LIBYA,Corn,0,0
2009-10-15,EGYPT,Corn,0,0
2009-10-15,UNKNOWN,Corn,0,35560
2009-10-22,CANADA,Corn,21931,5113
2009-10-22,MEXICO,Corn,85100,99646
2009-10-22,GUATEMALA,Corn,0,381
2009-10-22,EL SALVADOR,Corn,16496,16496
2009-10-22,HONDURAS,Corn,0,500
2009-10-22,NICARAGUA,Corn,0,0
2009-10-22,COSTA RICA,Corn,0,0
2009-10-22,PANAMA,Corn,30446,6198
2009-10-22,CUBA,Corn,27500,2500
2009-10-22,JAMAICA,Corn,0,0
2009-10-22,DOMINICAN REPUBLIC,Corn,0,74000
2009-10-22,LEEWARD-WINDWARD ISLANDS,Corn,750,1100
2009-10-22,BARBADOS,Corn,0,0
2009-10-22,TRINIDAD AND TOBAGO,Corn,5235,0
2009-10-22,FRENCH WEST INDIES,Corn,0,1000
2009-10-22,COLOMBIA,Corn,10263,5342
2009-10-22,VENEZUELA,Corn,0,20420
2009-10-22,GUYANA,Corn,0,0
2009-10-22,SURINAM,Corn,0,0
2009-10-22,ECUADOR,Corn,0,0
2009-10-22,PERU,Corn,34084,41584
2009-10-22,ICELAND,Corn,0,0
2009-10-22,UNITED KINGDOM,Corn,19,0
2009-10-22,SPAIN,Corn,40,0
2009-10-22,TURKEY,Corn,0,0
2009-10-22,SYRIA,Corn,27984,2984
2009-10-22,LEBANON,Corn,0,0
2009-10-22,IRAN,Corn,0,0
2009-10-22,ISRAEL,Corn,0,0
2009-10-22,SAUDI ARABIA,Corn,0,0
2009-10-22,UNITED ARAB EMIRATES,Corn,0,0
2009-10-22,VIETNAM,Corn,0,0
2009-10-22,MALAYSIA,Corn,208,600
2009-10-22,SINGAPORE,Corn,0,0
2009-10-22,INDONESIA,Corn,0,0
2009-10-22,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-10-22,"KOREA, REPUBLIC OF",Corn,98015,1717
2009-10-22,HONG KONG,Corn,572,763
2009-10-22,TAIWAN,Corn,81668,8764
2009-10-22,JAPAN,Corn,226645,26473
2009-10-22,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-10-22,MOROCCO,Corn,0,0
2009-10-22,ALGERIA,Corn,0,0
2009-10-22,TUNISIA,Corn,0,0
2009-10-22,LIBYA,Corn,0,0
2009-10-22,EGYPT,Corn,0,0
2009-10-22,GHANA,Corn,0,0
2009-10-22,UNKNOWN,Corn,0,76976
2009-10-29,CANADA,Corn,38740,211221
2009-10-29,MEXICO,Corn,128240,66139
2009-10-29,GUATEMALA,Corn,27198,2408
2009-10-29,EL SALVADOR,Corn,14000,0
2009-10-29,HONDURAS,Corn,28510,5742
2009-10-29,NICARAGUA,Corn,0,0
2009-10-29,COSTA RICA,Corn,0,0
2009-10-29,PANAMA,Corn,0,3000
2009-10-29,CUBA,Corn,0,0
2009-10-29,JAMAICA,Corn,4028,28
2009-10-29,DOMINICAN REPUBLIC,Corn,28200,23800
2009-10-29,LEEWARD-WINDWARD ISLANDS,Corn,350,0
2009-10-29,BARBADOS,Corn,4702,1534
2009-10-29,TRINIDAD AND TOBAGO,Corn,2714,14
2009-10-29,FRENCH WEST INDIES,Corn,0,0
2009-10-29,COLOMBIA,Corn,63697,22557
2009-10-29,VENEZUELA,Corn,18277,0
2009-10-29,GUYANA,Corn,0,0
2009-10-29,SURINAM,Corn,0,0
2009-10-29,ECUADOR,Corn,0,0
2009-10-29,PERU,Corn,46908,2499
2009-10-29,CHILE,Corn,0,0
2009-10-29,UNITED KINGDOM,Corn,19,0
2009-10-29,SPAIN,Corn,0,0
2009-10-29,TURKEY,Corn,0,0
2009-10-29,SYRIA,Corn,0,0
2009-10-29,LEBANON,Corn,0,0
2009-10-29,IRAN,Corn,0,0
2009-10-29,ISRAEL,Corn,0,0
2009-10-29,JORDAN,Corn,0,0
2009-10-29,SAUDI ARABIA,Corn,0,0
2009-10-29,UNITED ARAB EMIRATES,Corn,0,0
2009-10-29,VIETNAM,Corn,201,1
2009-10-29,MALAYSIA,Corn,208,0
2009-10-29,SINGAPORE,Corn,0,0
2009-10-29,INDONESIA,Corn,0,0
2009-10-29,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-10-29,"KOREA, REPUBLIC OF",Corn,497,0
2009-10-29,HONG KONG,Corn,266,999
2009-10-29,TAIWAN,Corn,19621,25307
2009-10-29,JAPAN,Corn,236143,138803
2009-10-29,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-10-29,MOROCCO,Corn,45679,1677
2009-10-29,ALGERIA,Corn,0,0
2009-10-29,TUNISIA,Corn,0,0
2009-10-29,LIBYA,Corn,0,0
2009-10-29,EGYPT,Corn,0,0
2009-10-29,UNKNOWN,Corn,0,139028
2009-11-05,CANADA,Corn,22101,119311
2009-11-05,MEXICO,Corn,143117,44544
2009-11-05,GUATEMALA,Corn,0,80531
2009-11-05,EL SALVADOR,Corn,0,0
2009-11-05,HONDURAS,Corn,8499,1500
2009-11-05,NICARAGUA,Corn,0,2000
2009-11-05,COSTA RICA,Corn,24306,1606
2009-11-05,PANAMA,Corn,0,0
2009-11-05,CUBA,Corn,0,0
2009-11-05,JAMAICA,Corn,0,5500
2009-11-05,DOMINICAN REPUBLIC,Corn,49299,23600
2009-11-05,LEEWARD-WINDWARD ISLANDS,Corn,0,0
2009-11-05,BARBADOS,Corn,0,1500
2009-11-05,TRINIDAD AND TOBAGO,Corn,0,0
2009-11-05,FRENCH WEST INDIES,Corn,0,0
2009-11-05,COLOMBIA,Corn,28841,17144
2009-11-05,VENEZUELA,Corn,3498,18478
2009-11-05,GUYANA,Corn,0,0
2009-11-05,SURINAM,Corn,1908,8
2009-11-05,ECUADOR,Corn,0,0
2009-11-05,PERU,Corn,0,0
2009-11-05,UNITED KINGDOM,Corn,19,0
2009-11-05,SPAIN,Corn,40,0
2009-11-05,TURKEY,Corn,0,0
2009-11-05,SYRIA,Corn,0,0
2009-11-05,LEBANON,Corn,0,0
2009-11-05,IRAN,Corn,0,0
2009-11-05,ISRAEL,Corn,0,0
2009-11-05,JORDAN,Corn,0,0
2009-11-05,SAUDI ARABIA,Corn,0,0
2009-11-05,UNITED ARAB EMIRATES,Corn,0,0
2009-11-05,OMAN,Corn,0,0
2009-11-05,VIETNAM,Corn,0,500
2009-11-05,MALAYSIA,Corn,0,600
2009-11-05,SINGAPORE,Corn,0,0
2009-11-05,INDONESIA,Corn,0,0
2009-11-05,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-11-05,"KOREA, REPUBLIC OF",Corn,57345,1155
2009-11-05,HONG KONG,Corn,331,500
2009-11-05,TAIWAN,Corn,15359,1005
2009-11-05,JAPAN,Corn,403379,191636
2009-11-05,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-11-05,MOROCCO,Corn,0,0
2009-11-05,ALGERIA,Corn,0,0
2009-11-05,TUNISIA,Corn,0,0
2009-11-05,LIBYA,Corn,0,0
2009-11-05,EGYPT,Corn,0,0
2009-11-05,UNKNOWN,Corn,0,72188
2009-11-12,CANADA,Corn,28871,25324
2009-11-12,MEXICO,Corn,141581,41567
2009-11-12,GUATEMALA,Corn,0,300
2009-11-12,EL SALVADOR,Corn,14837,0
2009-11-12,HONDURAS,Corn,14073,6469
2009-11-12,NICARAGUA,Corn,4082,0
2009-11-12,COSTA RICA,Corn,12117,71
2009-11-12,PANAMA,Corn,0,0
2009-11-12,CUBA,Corn,0,0
2009-11-12,JAMAICA,Corn,0,0
2009-11-12,DOMINICAN REPUBLIC,Corn,0,25040
2009-11-12,LEEWARD-WINDWARD ISLANDS,Corn,0,0
2009-11-12,BARBADOS,Corn,0,0
2009-11-12,TRINIDAD AND TOBAGO,Corn,0,0
2009-11-12,FRENCH WEST INDIES,Corn,3966,3766
2009-11-12,COLOMBIA,Corn,15704,25304
2009-11-12,VENEZUELA,Corn,52961,5028
2009-11-12,GUYANA,Corn,0,0
2009-11-12,SURINAM,Corn,0,0
2009-11-12,ECUADOR,Corn,0,0
2009-11-12,PERU,Corn,0,0
2009-11-12,CHILE,Corn,0,0
2009-11-12,UNITED KINGDOM,Corn,19,0
2009-11-12,SPAIN,Corn,40,0
2009-11-12,TURKEY,Corn,0,0
2009-11-12,SYRIA,Corn,0,0
2009-11-12,LEBANON,Corn,0,0
2009-11-12,IRAN,Corn,0,0
2009-11-12,ISRAEL,Corn,0,0
2009-11-12,JORDAN,Corn,16877,877
2009-11-12,SAUDI ARABIA,Corn,30326,2326
2009-11-12,UNITED ARAB EMIRATES,Corn,0,0
2009-11-12,VIETNAM,Corn,0,0
2009-11-12,MALAYSIA,Corn,415,20
2009-11-12,SINGAPORE,Corn,0,0
2009-11-12,INDONESIA,Corn,0,0
2009-11-12,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-11-12,"KOREA, REPUBLIC OF",Corn,114631,1499
2009-11-12,HONG KONG,Corn,200,604
2009-11-12,TAIWAN,Corn,11318,20072
2009-11-12,JAPAN,Corn,221226,188032
2009-11-12,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-11-12,MOROCCO,Corn,0,0
2009-11-12,ALGERIA,Corn,0,0
2009-11-12,TUNISIA,Corn,0,0
2009-11-12,LIBYA,Corn,0,0
2009-11-12,EGYPT,Corn,0,0
2009-11-12,UNKNOWN,Corn,0,57954
2009-11-19,CANADA,Corn,35143,34992
2009-11-19,MEXICO,Corn,122089,703258
2009-11-19,GUATEMALA,Corn,18092,31021
2009-11-19,EL SALVADOR,Corn,13000,0
2009-11-19,HONDURAS,Corn,0,6001
2009-11-19,NICARAGUA,Corn,0,0
2009-11-19,COSTA RICA,Corn,11431,0
2009-11-19,PANAMA,Corn,0,0
2009-11-19,CUBA,Corn,0,0
2009-11-19,JAMAICA,Corn,0,3500
2009-11-19,DOMINICAN REPUBLIC,Corn,23095,18741
2009-11-19,LEEWARD-WINDWARD ISLANDS,Corn,0,0
2009-11-19,BARBADOS,Corn,0,0
2009-11-19,TRINIDAD AND TOBAGO,Corn,0,0
2009-11-19,FRENCH WEST INDIES,Corn,0,0
2009-11-19,COLOMBIA,Corn,15741,6328
2009-11-19,VENEZUELA,Corn,10380,0
2009-11-19,GUYANA,Corn,0,0
2009-11-19,SURINAM,Corn,0,0
2009-11-19,ECUADOR,Corn,0,30000
2009-11-19,PERU,Corn,0,0
2009-11-19,UNITED KINGDOM,Corn,0,0
2009-11-19,SPAIN,Corn,0,0
2009-11-19,TURKEY,Corn,0,0
2009-11-19,SYRIA,Corn,0,0
2009-11-19,LEBANON,Corn,0,0
2009-11-19,IRAN,Corn,0,0
2009-11-19,ISRAEL,Corn,0,0
2009-11-19,JORDAN,Corn,0,0
2009-11-19,SAUDI ARABIA,Corn,0,0
2009-11-19,UNITED ARAB EMIRATES,Corn,0,0
2009-11-19,BAHRAIN,Corn,0,0
2009-11-19,VIETNAM,Corn,0,0
2009-11-19,MALAYSIA,Corn,1491,0
2009-11-19,SINGAPORE,Corn,0,0
2009-11-19,INDONESIA,Corn,0,0
2009-11-19,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-11-19,"KOREA, REPUBLIC OF",Corn,57070,119030
2009-11-19,HONG KONG,Corn,470,300
2009-11-19,TAIWAN,Corn,71595,75525
2009-11-19,JAPAN,Corn,248330,179985
2009-11-19,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-11-19,MOROCCO,Corn,0,0
2009-11-19,ALGERIA,Corn,0,0
2009-11-19,TUNISIA,Corn,0,0
2009-11-19,LIBYA,Corn,0,0
2009-11-19,EGYPT,Corn,0,0
2009-11-19,UNKNOWN,Corn,0,63655
2009-11-26,CANADA,Corn,18829,11840
2009-11-26,MEXICO,Corn,177645,33592
2009-11-26,GUATEMALA,Corn,15221,13144
2009-11-26,EL SALVADOR,Corn,0,0
2009-11-26,HONDURAS,Corn,0,8465
