Date,grossNewSales
2022-09-08,287239
2022-09-08,150749
2022-09-08,359
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,24906
2022-09-08,15
2022-09-08,0
2022-09-08,0
2022-09-08,80
2022-09-08,402
2022-09-08,0
2022-09-08,0
2022-09-08,28798
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,1114
2022-09-08,0
2022-09-08,0
2022-09-08,1000
2022-09-08,10778
2022-09-08,0
2022-09-08,0
2022-09-08,0
2022-09-08,90688
2022-09-15,55
2022-09-15,228941
2022-09-15,0
2022-09-15,6000
2022-09-15,2772
2022-09-15,0
2022-09-15,2667
2022-09-15,0
2022-09-15,322
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,60000
2022-09-15,13198
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,6238
2022-09-15,0
2022-09-15,0
2022-09-15,1927
2022-09-15,1980
2022-09-15,0
2022-09-15,0
2022-09-15,0
2022-09-15,65000
2022-09-15,14572
2022-09-22,7197
2022-09-22,323483
2022-09-22,0
2022-09-22,204
2022-09-22,55245
2022-09-22,19800
2022-09-22,0
2022-09-22,44200
2022-09-22,11200
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,776
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,5181
2022-09-22,650
2022-09-22,23550
2022-09-22,0
2022-09-22,785
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,0
2022-09-22,107600
2022-09-29,180
2022-09-29,149088
2022-09-29,15000
2022-09-29,0
2022-09-29,28200
2022-09-29,18500
2022-09-29,13938
2022-09-29,25500
2022-09-29,345
2022-09-29,0
2022-09-29,0
2022-09-29,3175
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,17500
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,14150
2022-09-29,44
2022-09-29,0
2022-09-29,0
2022-09-29,1500
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,0
2022-09-29,9000
2022-10-06,203
2022-10-06,200164
2022-10-06,27870
2022-10-06,12135
2022-10-06,4630
2022-10-06,0
2022-10-06,0
2022-10-06,17500
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,2
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,23500
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,6571
2022-10-06,882
2022-10-06,0
2022-10-06,0
2022-10-06,56910
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,0
2022-10-06,40400
2022-10-13,7332
2022-10-13,216645
2022-10-13,508
2022-10-13,0
2022-10-13,57477
2022-10-13,2000
2022-10-13,0
2022-10-13,22671
2022-10-13,11200
2022-10-13,0
2022-10-13,1101
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,30000
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,663
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,6614
2022-10-13,3393
2022-10-13,6650
2022-10-13,0
2022-10-13,2395
2022-10-13,40640
2022-10-13,0
2022-10-13,0
2022-10-13,0
2022-10-13,49068
2022-10-20,28354
2022-10-20,110069
2022-10-20,0
2022-10-20,0
2022-10-20,7500
2022-10-20,19500
2022-10-20,0
2022-10-20,0
2022-10-20,260
2022-10-20,0
2022-10-20,0
2022-10-20,750
2022-10-20,4800
2022-10-20,7000
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,91802
2022-10-20,0
2022-10-20,0
2022-10-20,300
2022-10-20,3508
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,0
2022-10-20,24384
2022-10-27,23087
2022-10-27,192960
2022-10-27,762
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,11049
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,716
2022-10-27,0
2022-10-27,5
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,9780
2022-10-27,0
2022-10-27,0
2022-10-27,1476
2022-10-27,25000
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,0
2022-10-27,239260
2022-11-03,51438
2022-11-03,218219
2022-11-03,29483
2022-11-03,40046
2022-11-03,800
2022-11-03,307
2022-11-03,0
2022-11-03,0
2022-11-03,9018
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,1000
2022-11-03,0
2022-11-03,0
2022-11-03,150
2022-11-03,2170
2022-11-03,0
2022-11-03,5500
2022-11-03,11500
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,0
2022-11-03,11096
2022-11-10,91364
2022-11-10,950663
2022-11-10,3048
2022-11-10,2000
2022-11-10,66761
2022-11-10,0
2022-11-10,0
2022-11-10,26000
2022-11-10,349
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,1506
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,65000
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,13358
2022-11-10,1500
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,0
2022-11-10,84328
2022-11-17,17964
2022-11-17,1788110
2022-11-17,35135
2022-11-17,0
2022-11-17,21400
2022-11-17,0
2022-11-17,4765
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,1000
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,77
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,2400
2022-11-17,896
2022-11-17,7270
2022-11-17,13600
2022-11-17,10500
2022-11-17,9997
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-11-17,28448
2022-11-24,19536
2022-11-24,389827
2022-11-24,9755
2022-11-24,7500
2022-11-24,20896
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,382
2022-11-24,0
2022-11-24,0
2022-11-24,75
2022-11-24,440
2022-11-24,0
2022-11-24,0
2022-11-24,27206
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,23
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,900
2022-11-24,1843
2022-11-24,772
2022-11-24,34000
2022-11-24,0
2022-11-24,2600
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,0
2022-11-24,103560
2022-12-01,23186
2022-12-01,365554
2022-12-01,32080
2022-12-01,21309
2022-12-01,28780
2022-12-01,8500
2022-12-01,122335
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,13000
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,15704
2022-12-01,200
2022-12-01,0
2022-12-01,0
2022-12-01,7180
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,0
2022-12-01,89068
2022-12-08,33800
2022-12-08,201573
2022-12-08,181714
2022-12-08,94215
2022-12-08,49701
2022-12-08,43000
2022-12-08,75764
2022-12-08,65100
2022-12-08,0
2022-12-08,15679
2022-12-08,0
2022-12-08,70
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,135
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,6061
2022-12-08,462
2022-12-08,126
2022-12-08,9481
2022-12-08,80000
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,0
2022-12-08,191952
