,Date,Open,High,Low,Close,Volume
370,2002-02-28 00:00:00-05:00,199.75,200.25,199.75,200.0,62
371,2002-03-01 00:00:00-05:00,200.0,200.5,199.5,199.5,62
372,2002-03-04 00:00:00-05:00,200.0,200.5,199.5,200.5,62
373,2002-03-05 00:00:00-05:00,199.25,199.25,199.25,199.25,120
374,2002-03-06 00:00:00-05:00,202.75,202.75,202.5,202.5,120
375,2002-03-07 00:00:00-05:00,202.75,202.75,202.5,201.5,120
376,2002-03-08 00:00:00-05:00,200.75,200.75,200.75,200.75,120
377,2002-03-11 00:00:00-05:00,202.0,202.0,202.0,202.0,120
378,2002-03-12 00:00:00-05:00,204.0,204.0,204.0,204.0,120
379,2002-03-13 00:00:00-05:00,204.75,204.75,204.75,204.75,120
380,2002-03-14 00:00:00-05:00,203.0,203.0,203.0,203.0,275
381,2002-03-15 00:00:00-05:00,207.75,208.0,207.0,207.0,325
382,2002-03-18 00:00:00-05:00,205.25,206.0,205.0,205.25,327
383,2002-03-19 00:00:00-05:00,206.0,206.25,205.5,205.5,199
384,2002-03-20 00:00:00-05:00,206.25,206.75,206.25,206.75,180
385,2002-03-21 00:00:00-05:00,205.75,206.0,205.75,206.0,296
386,2002-03-22 00:00:00-05:00,205.5,206.25,205.0,206.25,162
387,2002-03-25 00:00:00-05:00,204.75,205.0,204.5,204.75,511
388,2002-03-26 00:00:00-05:00,203.75,205.0,203.75,205.0,156
389,2002-03-27 00:00:00-05:00,204.5,205.25,204.5,204.5,1161
390,2002-03-28 00:00:00-05:00,206.0,207.25,205.75,207.0,101
391,2002-04-01 00:00:00-05:00,202.5,202.75,202.5,202.5,673
392,2002-04-02 00:00:00-05:00,203.5,205.0,203.5,204.25,75
393,2002-04-03 00:00:00-05:00,203.75,204.0,203.75,204.0,330
394,2002-04-04 00:00:00-05:00,201.25,201.5,201.0,201.25,135
395,2002-04-05 00:00:00-05:00,201.5,201.75,201.25,201.5,219
396,2002-04-08 00:00:00-04:00,200.5,200.75,200.25,200.75,243
397,2002-04-09 00:00:00-04:00,201.5,202.0,201.5,202.0,161
